"Comparison","Transition","Mean_Difference","Cohens_d","n_pairs"
"Bilateral - Sham","CAP4 -> CAP6",-0.0205582789449225,-0.190729840431058,20
"Bilateral - Sham","CAP4 -> CAP7",-0.00322072663057318,-0.0450577880772402,20
"Bilateral - Sham","CAP5 -> CAP1",0.0187761272835425,0.166239642441411,20
"Bilateral - Sham","CAP5 -> CAP2",0.0105144094495897,0.0776607963588526,20
"Bilateral - Sham","CAP5 -> CAP3",-0.0228346210215119,-0.237903562849499,20
"Bilateral - Sham","CAP5 -> CAP4",-0.0186415992900955,-0.180122662181194,20
"Bilateral - Sham","CAP5 -> CAP6",0.00184729064039409,0.102074509351845,20
"Bilateral - Sham","CAP5 -> CAP7",0.010338392938081,0.0726994149925286,20
"Bilateral - Sham","CAP6 -> CAP1",-0.00513157894736842,-0.324774540382161,20
"Bilateral - Sham","CAP6 -> CAP2",0.0530278450479689,0.237145307922195,20
"Bilateral - Sham","CAP6 -> CAP3",-0.0298821661224912,-0.125348592449159,20
"Bilateral - Sham","CAP6 -> CAP4",-0.0122524106870082,-0.0787187819148136,20
"Bilateral - Sham","CAP6 -> CAP5",-0.00159502262443439,-0.0639316329725849,20
"Bilateral - Sham","CAP6 -> CAP7",-0.00416666666666667,-0.223606797749979,20
"Bilateral - Sham","CAP7 -> CAP1",-0.0219667121234459,-0.0988291140291097,20
"Bilateral - Sham","CAP7 -> CAP2",-0.00117349970291147,-0.0420697997183676,20
"Bilateral - Sham","CAP7 -> CAP3",0.0145200121515911,0.16858900498748,20
"Bilateral - Sham","CAP7 -> CAP4",0.0124384825700615,0.12499871586236,20
"Bilateral - Sham","CAP7 -> CAP5",-0.00381828289529528,-0.0181305264050824,20
"Bilateral - Unilateral","CAP1 -> CAP2",0.00630322836205189,0.280949196487958,20
"Bilateral - Unilateral","CAP1 -> CAP3",0.0397371424877651,0.280540815384069,20
"Bilateral - Unilateral","CAP1 -> CAP4",-0.00354792953864161,-0.0305331533521578,20
"Bilateral - Unilateral","CAP1 -> CAP5",-0.0280402725082359,-0.271561539465533,20
"Bilateral - Unilateral","CAP1 -> CAP6",-0.0025,-0.223606797749979,20
"Bilateral - Unilateral","CAP1 -> CAP7",-0.0119521688029394,-0.125534247138877,20
"Bilateral - Unilateral","CAP2 -> CAP1",-0.00416666666666667,-0.321271034494742,20
"Bilateral - Unilateral","CAP2 -> CAP3",0.0177952454502966,0.132267539387604,20
"Bilateral - Unilateral","CAP2 -> CAP4",-0.0161542222347681,-0.102083135638602,20
"Bilateral - Unilateral","CAP2 -> CAP5",-0.0525804496395256,-0.392034839428085,20
"Bilateral - Unilateral","CAP2 -> CAP6",0.0526060930906637,0.340265705875359,20
"Bilateral - Unilateral","CAP2 -> CAP7",0.0025,0.223606797749979,20
"Bilateral - Unilateral","CAP3 -> CAP1",0.0253768603977653,0.199087075879531,20
"Bilateral - Unilateral","CAP3 -> CAP2",-0.023620058028108,-0.237292378478417,20
"Bilateral - Unilateral","CAP3 -> CAP4",0.0020232904845276,0.0174659021488318,20
"Bilateral - Unilateral","CAP3 -> CAP5",0.023652123114267,0.179745907243353,20
"Bilateral - Unilateral","CAP3 -> CAP6",-0.0254908240270599,-0.221737138800249,20
"Bilateral - Unilateral","CAP3 -> CAP7",-0.00194139194139194,-0.104598198462208,20
"Bilateral - Unilateral","CAP4 -> CAP1",-0.0370464366140433,-0.336497470922222,20
"Bilateral - Unilateral","CAP4 -> CAP2",0.0260263763360075,0.171203187710539,20
"Bilateral - Unilateral","CAP4 -> CAP3",0.0422042502990645,0.380378617066628,20
"Bilateral - Unilateral","CAP4 -> CAP5",-0.0167203570890305,-0.10590155314145,20
