"parameter","comparison","n_pairs","df","statistic","p_value","p_corrected","cohens_d","significance"
"CAP1_CAP7","Bilateral vs Sham",20,19,-2.65123046505267,0.0157592132332079,0.0472776396996237,-0.592833154387616,"**"
"CAP1_CAP7","Bilateral vs Unilateral",20,19,-0.561406220213576,0.581082720175655,1,-0.125534247138877,""
"CAP1_CAP7","Unilateral vs Sham",20,19,-2.23049329036607,0.0379672557177798,0.11390176715334,-0.49875346206157,"*"
"CAP6_CAP1","Bilateral vs Sham",20,19,-1.45243589931152,0.162695688405803,0.48808706521741,-0.324774540382161,""
"CAP6_CAP1","Bilateral vs Unilateral",20,19,-1.6664763727571,0.112019206923473,0.336057620770419,-0.372635445238216,""
"CAP6_CAP1","Unilateral vs Sham",20,19,1.63896520314803,0.117673800013728,0.353021400041184,0.366483760699575,""
