"parameter","f_statistic","df_num","df_denom","p_value","n_valid_perms","n_obs","singular_warnings","original_singular","significance"
"CAP1",1.84174640914543,2,39.9999998316293,0.188,10000,60,0,FALSE,"ns"
"CAP2",0.196956101603877,2,39.999994238657,0.8352,10000,60,0,FALSE,"ns"
"CAP3",0.291806096847453,2,39.9999999420145,0.7642,10000,60,0,FALSE,"ns"
"CAP4",2.94846498344753,2,40.0000000224636,0.0765,10000,60,0,FALSE,"ns"
"CAP5",0.407736385870903,2,39.9999997476018,0.6837,10000,60,0,FALSE,"ns"
"CAP6",0.519367570293785,2,40.0000002144024,0.62,10000,60,0,FALSE,"ns"
"CAP7",0.331924693777928,2,40.000000014429,0.7282,10000,60,0,FALSE,"ns"
