"parameter","f_statistic","df_num","df_denom","p_value","n_valid_perms","n_obs","singular_warnings","original_singular","significance"
"CAP1",0.640999084384332,2,39.9999995744161,0.5449,10000,60,0,FALSE,"ns"
"CAP2",0.508426447504502,2,39.9999998966028,0.6228,10000,60,0,FALSE,"ns"
"CAP3",0.257906882128565,2,40.0000000124268,0.7964,10000,60,0,FALSE,"ns"
"CAP4",3.94561957893235,2,40.0000001339791,0.0362,10000,60,0,FALSE,"*"
"CAP5",0.659134103553622,2,39.9999997924178,0.5519,10000,60,0,FALSE,"ns"
"CAP6",0.954098442314935,2,40.0000000382116,0.4172,10000,60,0,FALSE,"ns"
"CAP7",0.972809446596286,2,40.0000000100634,0.4019,10000,60,0,FALSE,"ns"
