"task","metric","condition","parameter","correlation","p_value","r_squared","n_obs","sig"
"BOB","CAP1->CAP7 Transition Probability","Bilateral","x2_hand_speed_peak_bias",-0.252340574272683,0.312398552199522,0.0636757654242676,20,""
"BOB","CAP1->CAP7 Transition Probability","Bilateral","x3_hand_speed_diff_m_s",0.258597565253225,0.316250077613517,0.0668727007548962,19,""
"APM","CAP4 Occurrence Rate","Bilateral","LH_variability_x_m",0.245405059096443,0.326327441035668,0.0602236430301286,20,""
"OH","CAP1->CAP7 Transition Probability","Bilateral","hits_with_right",0.25034440393601,0.332482474245945,0.062672320582076,19,""
"BOB","CAP1->CAP7 Transition Probability","Bilateral","x1_norm_absolute_hand_speed_diff",-0.241973980254473,0.333350611024906,0.0585514071201923,20,""
"BOB","CAP4 Occurrence Rate","Bilateral","x3_drops",0.241708908547557,0.333896828131872,0.0584231964712515,20,""
"OH","CAP1->CAP7 Transition Probability","Bilateral","hand_selection_overlap",0.239601372356182,0.338258211701346,0.0574088176349658,20,""
"BOB","CAP4 Occurrence Rate","Bilateral","x2_hand_path_bias",-0.231328226491266,0.355695497570048,0.0535127483715946,20,""
"BOB","CAP4 Occurrence Rate","Bilateral","x1_hand_speed_diff_m_s",-0.238362187800773,0.35688783990673,0.056816532573171,19,""
"VGR","CAP4 Occurrence Rate","Bilateral","LH_speed_maxima_count",0.228562192709549,0.36163742233966,0.0522406759361971,20,""
"VGR","CAP4 Occurrence Rate","Bilateral","LH_initial_direction_angle_rad",-0.224062566950229,0.37142241290485,0.050204033908326,20,""
"BOB","CAP1->CAP7 Transition Probability","Bilateral","x3_mean_right_hand_speed_m_s",0.22340571277974,0.372863102624193,0.0499101125026237,20,""
"VGR","CAP4 Occurrence Rate","Bilateral","LH_posture_speed_m_s",0.220376482008516,0.379547468707266,0.0485657938224497,20,""
"VGR","CAP4 Occurrence Rate","Bilateral","RH_path_length_ratio",-0.216222030644941,0.38882200005002,0.0467519665362217,20,""
"BOB","CAP1->CAP7 Transition Probability","Bilateral","x1_stdev_bar_angle_rad",-0.214223768650485,0.39332691350255,0.0458918230548167,20,""
"VGR","CAP1->CAP7 Transition Probability","Bilateral","LH_initial_direction_angle_rad",0.213306422868897,0.395404505782124,0.0454996300371247,20,""
"BOB","CAP4 Occurrence Rate","Bilateral","x3_drops_targets",0.212219395020064,0.397874121110333,0.0450370716226819,20,""
"VGR","CAP1->CAP7 Transition Probability","Bilateral","LH_movement_time_s",0.212126386501114,0.398085815692217,0.0449976038500201,20,""
"OH","CAP1->CAP7 Transition Probability","Bilateral","miss_bias",-0.209804131908104,0.403391268611822,0.044017773765713,20,""
"BOB","CAP1->CAP7 Transition Probability","Bilateral","x2_mean_left_hand_speed_m_s",-0.20691434174215,0.410046350532475,0.0428135448185872,20,""
"APM","CAP4 Occurrence Rate","Bilateral","LH_contraction_expansion_ratio_x",0.201868356733433,0.421806997499931,0.0407508334502565,20,""
"OH","CAP1->CAP7 Transition Probability","Bilateral","hand_speed_left_m_s",0.200653351338429,0.424665197886145,0.0402617674033428,20,""
"OH","CAP1->CAP7 Transition Probability","Bilateral","movement_area_bias",-0.200540504569501,0.424931177903816,0.0402164939729899,20,""
"BOB","CAP4 Occurrence Rate","Bilateral","x2_targets_completed",0.19863561012755,0.429434249858099,0.0394561056107439,20,""
"OH","CAP4 Occurrence Rate","Bilateral","miss_bias",0.19851332047674,0.429724188218959,0.0394075384067007,20,""
"BOB","CAP4 Occurrence Rate","Bilateral","x3_left_hand_speed_maxima",0.19673532508751,0.433951237803489,0.0387047881372883,20,""
"BOB","CAP1->CAP7 Transition Probability","Bilateral","x2_mean_right_hand_speed_m_s",-0.193708329312045,0.44119730037633,0.0375229168448636,20,""
"APM","CAP4 Occurrence Rate","Bilateral","RH_variability_y_m",0.193626114056246,0.44139497644297,0.0374910720445223,20,""
"BOB","CAP1->CAP7 Transition Probability","Bilateral","x3_drops_targets",-0.191937203378475,0.445465860118072,0.0368398900407501,20,""
"BOB","CAP1->CAP7 Transition Probability","Bilateral","x2_norm_absolute_hand_speed_diff",-0.190728423531349,0.448391265629808,0.0363773315427537,20,""
"BOB","CAP1->CAP7 Transition Probability","Bilateral","x1_mean_left_hand_speed_m_s",-0.189103310084187,0.452339714976942,0.035760061884796,20,""
"APM","CAP1->CAP7 Transition Probability","Bilateral","LH_contraction_expansion_ratio_x",-0.186468144573102,0.458779724478127,0.0347703689405353,20,""
"BOB","CAP4 Occurrence Rate","Bilateral","x3_mean_right_hand_speed_m_s",0.18395532040894,0.464963656534819,0.0338395599067557,20,""
"OH","CAP4 Occurrence Rate","Bilateral","hand_bias_of_hits",0.183328705846405,0.466512209801851,0.0336094143873176,20,""
"BOB","CAP1->CAP7 Transition Probability","Bilateral","x3_mean_movement_time_s",-0.1823135546297,0.469026425875542,0.0332382322017167,20,""
"BOB","CAP1->CAP7 Transition Probability","Bilateral","x1_hand_speed_diff_m_s",-0.18779126358527,0.470437931031383,0.0352655586789524,19,""
"OH","CAP4 Occurrence Rate","Bilateral","median_error",0.178696414628833,0.478039664441733,0.0319324086011996,20,""
"BOB","CAP1->CAP7 Transition Probability","Bilateral","x1_mean_bar_angle_rad",0.176060136306543,0.484662166424045,0.0309971715962784,20,""
"VGR","CAP1->CAP7 Transition Probability","Bilateral","LH_path_length_ratio",0.174549040199917,0.488478254461219,0.0304673674347122,20,""
"OH","CAP1->CAP7 Transition Probability","Bilateral","hand_speed_bias",0.169830757482874,0.500487058289728,0.0288424861872066,20,""
"VGR","CAP1->CAP7 Transition Probability","Bilateral","LH_initial_distance_ratio",-0.163595907013622,0.516569357748939,0.0267636207916095,20,""
"OH","CAP4 Occurrence Rate","Bilateral","hits_with_right",-0.167023249075218,0.521701133827822,0.0278967657316423,19,""
"APM","CAP4 Occurrence Rate","Bilateral","LH_abs_error_y_m",-0.161502645928405,0.522022359738229,0.0260831046418756,20,""
"OH","CAP4 Occurrence Rate","Bilateral","movement_area_right_hand_m_2",0.159094482261358,0.528328536246586,0.0253110542860095,20,""
"BOB","CAP4 Occurrence Rate","Bilateral","x3_bar_length_variability",0.156754886228157,0.53448848689179,0.0245720943564023,20,""
"BOB","CAP1->CAP7 Transition Probability","Bilateral","x2_mean_bar_angle_rad",0.154906791395714,0.539377357604001,0.0239961140205153,20,""
"BOB","CAP4 Occurrence Rate","Bilateral","x1_right_hand_speed_maxima",-0.154468412403062,0.540539984829306,0.0238604904303226,20,""
"APM","CAP1->CAP7 Transition Probability","Bilateral","LH_shift_x_m",-0.153459095392928,0.543221090714371,0.0235496939588158,20,""
"VGR","CAP1->CAP7 Transition Probability","Bilateral","RH_path_length_ratio",0.14547839823814,0.564628275654974,0.0211639643539347,20,""
"VGR","CAP4 Occurrence Rate","Bilateral","RH_speed_maxima_count",-0.145402510162729,0.564833579019308,0.0211418899616224,20,""
"BOB","CAP4 Occurrence Rate","Bilateral","x1_mean_bar_angle_rad",0.144525955412972,0.56720730681135,0.0208877517880325,20,""
"BOB","CAP1->CAP7 Transition Probability","Bilateral","x1_hand_path_bias",0.141996589169556,0.574080939434442,0.0201630313357877,20,""
"BOB","CAP4 Occurrence Rate","Bilateral","x2_hand_speed_peak_bias",0.141489362909613,0.575463614982569,0.0200192398165682,20,""
"BOB","CAP1->CAP7 Transition Probability","Bilateral","x2_left_hand_speed_maxima",-0.140469316941506,0.57824850383325,0.0197316290020132,20,""
"APM","CAP4 Occurrence Rate","Bilateral","LH_contraction_expansion_ratio_y",0.13886631189353,0.58263647899672,0.019283852578911,20,""
"BOB","CAP4 Occurrence Rate","Bilateral","x3_mean_bar_angle_rad",0.13671722324532,0.588541163259109,0.0186915991319107,20,""
"BOB","CAP1->CAP7 Transition Probability","Bilateral","x2_hand_speed_diff_m_s",-0.136170421858209,0.602284555855384,0.0185423837890425,19,""
"APM","CAP1->CAP7 Transition Probability","Bilateral","LH_shift_y_m",-0.126062982255198,0.618174329897418,0.0158918754950744,20,""
"BOB","CAP1->CAP7 Transition Probability","Bilateral","x1_mean_right_hand_speed_m_s",-0.125945125737508,0.618505398356182,0.0158621746970366,20,""
"OH","CAP4 Occurrence Rate","Bilateral","movement_area_left_hand_m_2",-0.124619935211574,0.622232765681928,0.015530128252137,20,""
"OH","CAP4 Occurrence Rate","Bilateral","total_hits",-0.122049790177142,0.629486734108507,0.0148961512822843,20,""
"BOB","CAP1->CAP7 Transition Probability","Bilateral","x1_hand_speed_peak_bias",-0.120591152421294,0.633618040604085,0.0145422260422959,20,""
"APM","CAP1->CAP7 Transition Probability","Bilateral","LH_variability_x_m",0.117618608887626,0.642069075575831,0.0138341371566603,20,""
"APM","CAP1->CAP7 Transition Probability","Bilateral","RH_variability_y_m",-0.116810919837304,0.644372663255552,0.013644790993237,20,""
"BOB","CAP4 Occurrence Rate","Bilateral","x3_hand_speed_diff_m_s",-0.116808206060976,0.655263547540727,0.0136441570031834,19,""
"BOB","CAP4 Occurrence Rate","Bilateral","x2_mean_movement_time_s",-0.110940156314084,0.661208142333269,0.0123077182829933,20,""
"OH","CAP1->CAP7 Transition Probability","Bilateral","movement_area_right_hand_m_2",0.108735778388343,0.667570295217302,0.0118234695017188,20,""
"OH","CAP1->CAP7 Transition Probability","Bilateral","median_error",0.108026564949292,0.669621807111653,0.0116697387347436,20,""
"BOB","CAP4 Occurrence Rate","Bilateral","x3_hand_path_bias",-0.106588749056402,0.673787739449874,0.0113611614254087,20,""
"APM","CAP1->CAP7 Transition Probability","Bilateral","RH_variability_x_m",-0.103951587068129,0.68145210881959,0.0108059324539827,20,""
"VGR","CAP4 Occurrence Rate","Bilateral","LH_initial_distance_ratio",-0.103576149396773,0.682545679273229,0.0107280187238627,20,""
"VGR","CAP1->CAP7 Transition Probability","Bilateral","LH_speed_maxima_count",0.103529607653223,0.682681287495243,0.0107183796608303,20,""
"BOB","CAP1->CAP7 Transition Probability","Bilateral","x1_right_hand_speed_maxima",0.101946604594241,0.687299150417506,0.0103931101882946,20,""
"BOB","CAP4 Occurrence Rate","Bilateral","x1_mean_movement_time_s",0.101112625549154,0.689736249536909,0.0102237630454434,20,""
"VGR","CAP1->CAP7 Transition Probability","Bilateral","RH_movement_time_s",0.10081694251781,0.690601010150604,0.0101640558986394,20,""
"APM","CAP4 Occurrence Rate","Bilateral","LH_abs_error_x_m",-0.100174724761584,0.692480508241811,0.0100349754810592,20,""
"APM","CAP1->CAP7 Transition Probability","Bilateral","LH_abs_error_x_m",0.0999498236103538,0.693139103152232,0.00998996723974083,20,""
"BOB","CAP4 Occurrence Rate","Bilateral","x2_left_hand_speed_maxima",0.0994668810671892,0.694554047059607,0.00989366042923436,20,""
"BOB","CAP4 Occurrence Rate","Bilateral","x1_left_hand_speed_maxima",-0.0985408160587079,0.697269954247421,0.00971029242951611,20,""
"BOB","CAP1->CAP7 Transition Probability","Bilateral","x3_hand_speed_peak_bias",0.0968627980937067,0.702200055461308,0.00938240165454219,20,""
"BOB","CAP1->CAP7 Transition Probability","Bilateral","x2_mean_movement_time_s",0.0953212861703342,0.706739091066795,0.00908614759716675,20,""
"APM","CAP4 Occurrence Rate","Bilateral","RH_abs_error_x_m",0.0932418182156932,0.712877076938546,0.00869403666416838,20,""
